;0;1;2;3;5;10;15;90;180
0;10;7.5094592;7.5094592;7.5094592;7.5094592;7.5094592;7.5094592;8.147083333;9.7
0.1;10;7.5094592;7.5094592;7.5094592;7.5094592;7.5094592;7.5094592;8.147083333;9.7
0.5;10;7.5094592;7.5094592;7.5094592;7.5094592;7.5094592;7.5094592;7.82742681;9.8
1.1;108;7.6665582;7.5684634;7.4810366;7.3320148;7.3214992;7.4763122;6.857933321;11.2
2;10;7.5550268;7.4663808;7.39267;7.3845166;7.461123;6.7807332;6.877128114;10.5
5;10;5.9973718;5.9965082;5.9989974;5.9910726;5.9719464;5.9680348;6.95464387;10.4
10;10;5.9973718;5.9965082;5.9989974;5.9910726;5.9719464;5.9680348;6.95464387;10.4
