0;0;0
10;350;4
100;355;7
500;21;11
750;36;11
1000;38;11
1500;50;9
2000;66;10
2500;73;12
3000;76;13
3600;76;11
4200;76;10
5500;91;13
9000;100;16
12000;120;14
30000;106;27
